fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matrícula,mx1,my1,mx2,my2,texto_matricula
758,car,"tensor(0.7186, device='cuda:0')",2559,944,299,1126,430,pl_license_plate,"tensor(0.4371, device='cuda:0')",991,379,1036,390,
760,car,"tensor(0.7430, device='cuda:0')",2572,934,297,1121,433,pl_license_plate,"tensor(0.4311, device='cuda:0')",980,381,1029,395,QZLL
765,car,"tensor(0.7985, device='cuda:0')",2603,900,298,1103,445,pl_license_plate,"tensor(0.5104, device='cuda:0')",952,389,1002,401,
766,car,"tensor(0.8416, device='cuda:0')",2611,891,295,1103,447,pl_license_plate,"tensor(0.6759, device='cuda:0')",945,390,996,403,
767,car,"tensor(0.8108, device='cuda:0')",2617,885,295,1102,450,pl_license_plate,"tensor(0.6042, device='cuda:0')",936,392,991,405,
768,car,"tensor(0.7578, device='cuda:0')",2625,878,293,1097,451,pl_license_plate,"tensor(0.8370, device='cuda:0')",930,394,984,407,
769,car,"tensor(0.8333, device='cuda:0')",2630,872,290,1095,454,pl_license_plate,"tensor(0.4845, device='cuda:0')",923,396,978,409,
770,car,"tensor(0.8155, device='cuda:0')",2634,864,290,1094,457,pl_license_plate,"tensor(0.7442, device='cuda:0')",915,397,971,410,
771,car,"tensor(0.9015, device='cuda:0')",2639,853,292,1088,461,pl_license_plate,"tensor(0.7758, device='cuda:0')",906,399,964,413,Entd
772,car,"tensor(0.8804, device='cuda:0')",2642,841,292,1084,464,pl_license_plate,"tensor(0.8143, device='cuda:0')",898,401,958,415,
773,car,"tensor(0.8708, device='cuda:0')",2647,834,291,1081,466,pl_license_plate,"tensor(0.8068, device='cuda:0')",890,402,949,417,Fr
774,car,"tensor(0.8724, device='cuda:0')",2652,823,292,1074,472,pl_license_plate,"tensor(0.4642, device='cuda:0')",879,404,943,420,
775,car,"tensor(0.8549, device='cuda:0')",2656,812,293,1071,472,pl_license_plate,"tensor(0.8320, device='cuda:0')",870,407,933,422,
776,car,"tensor(0.8468, device='cuda:0')",2661,799,293,1068,477,pl_license_plate,"tensor(0.7605, device='cuda:0')",861,409,924,425,
777,car,"tensor(0.8798, device='cuda:0')",2665,788,292,1063,481,pl_license_plate,"tensor(0.8331, device='cuda:0')",850,411,915,427,
778,car,"tensor(0.8900, device='cuda:0')",2669,775,292,1059,485,pl_license_plate,"tensor(0.8428, device='cuda:0')",837,414,906,431,MHEq
779,car,"tensor(0.8698, device='cuda:0')",2673,763,290,1055,489,pl_license_plate,"tensor(0.7124, device='cuda:0')",825,416,896,435,kLq
780,car,"tensor(0.8645, device='cuda:0')",2677,747,290,1053,493,pl_license_plate,"tensor(0.6658, device='cuda:0')",813,420,884,438,Elq
781,car,"tensor(0.8918, device='cuda:0')",2681,734,288,1046,496,pl_license_plate,"tensor(0.8245, device='cuda:0')",799,422,873,442,@iLAc
782,car,"tensor(0.8987, device='cuda:0')",2685,718,286,1040,505,pl_license_plate,"tensor(0.8382, device='cuda:0')",784,426,861,447,ELkG
783,car,"tensor(0.8977, device='cuda:0')",2689,700,285,1033,509,pl_license_plate,"tensor(0.8058, device='cuda:0')",770,429,848,450,ElaKC
784,car,"tensor(0.9203, device='cuda:0')",2692,684,285,1030,517,d_license_plate,"tensor(0.6391, device='cuda:0')",753,433,835,455,Dkd
784,car,"tensor(0.9203, device='cuda:0')",2692,684,285,1030,517,pl_license_plate,"tensor(0.4210, device='cuda:0')",754,433,834,454,EaC
785,car,"tensor(0.9149, device='cuda:0')",2695,666,284,1024,522,pl_license_plate,"tensor(0.8326, device='cuda:0')",738,438,821,459,Wuq
786,car,"tensor(0.9022, device='cuda:0')",2700,645,284,1018,528,pl_license_plate,"tensor(0.6219, device='cuda:0')",719,441,805,464,DHK
787,car,"tensor(0.9295, device='cuda:0')",2704,624,286,1011,534,pl_license_plate,"tensor(0.5285, device='cuda:0')",699,446,788,470,br
788,car,"tensor(0.8990, device='cuda:0')",2708,600,284,1005,541,d_license_plate,"tensor(0.7169, device='cuda:0')",677,450,771,476,bua
789,car,"tensor(0.9023, device='cuda:0')",2711,577,283,999,547,d_license_plate,"tensor(0.5912, device='cuda:0')",654,454,751,482,mu
789,car,"tensor(0.9023, device='cuda:0')",2711,577,283,999,547,pl_license_plate,"tensor(0.4287, device='cuda:0')",655,455,751,480,Mu
790,car,"tensor(0.9057, device='cuda:0')",2715,551,281,990,559,d_license_plate,"tensor(0.6407, device='cuda:0')",629,459,731,488,mc
791,car,"tensor(0.9160, device='cuda:0')",2718,520,281,981,571,d_license_plate,"tensor(0.6688, device='cuda:0')",602,465,708,495,DuC
792,car,"tensor(0.9219, device='cuda:0')",2722,492,279,975,578,d_license_plate,"tensor(0.7816, device='cuda:0')",575,471,684,503,buC
793,car,"tensor(0.8937, device='cuda:0')",2726,454,277,964,588,d_license_plate,"tensor(0.7744, device='cuda:0')",543,477,657,511,DC
794,car,"tensor(0.9074, device='cuda:0')",2731,424,280,953,601,d_license_plate,"tensor(0.5285, device='cuda:0')",509,485,630,521,02
795,car,"tensor(0.9138, device='cuda:0')",2736,380,277,943,613,d_license_plate,"tensor(0.4480, device='cuda:0')",471,493,598,531,Durc
